id,question,answer,answer_value,answer_unit,ref_id,ref_url,supporting_materials,explanation
,"True or False: Under Germany's 2023 Energy Efficiency Act, data centers must run on 100% renewable energy by January 1, 2027.",Unable to answer with confidence based on the provided documents.,is_blank,is_blank,is_blank,is_blank,is_blank,is_blank
,"Out of a sample of 60 papers from top AI conferences, how many papers from ACL targeted both accuracy and efficiency?",Unable to answer with confidence based on the provided documents.,is_blank,is_blank,is_blank,is_blank,is_blank,is_blank
,"According to recent estimates, what percentage of a model's total lifecycle energy use can inference account for?",Up to 90%,90,%,['jegham2025'],is_blank,\,
,True or False: The AI Act requires providers to report both training and inference energy consumption for general-purpose AI models.,False,0,is_blank,['ebert2024'],is_blank,,
,True or False: The AI Act currently requires providers to report energy use during the inference phase of AI models.,Unable to answer with confidence based on the provided documents.,is_blank,is_blank,is_blank,is_blank,is_blank,is_blank
,True or False: New AI data centers often rely on air cooling due to high server power densities.,False,0,is_blank,['68'],is_blank,"Most of these training, fine-tuning and inference computations are conducted in data centers. However, the context does not specify that new AI data centers often rely on air cooling due to high server power densities.",The context discusses the computations being conducted in data centers but does not provide information about the cooling methods used specifically for new AI data centers.
,By what factor did platform-level caching improve the power efficiency of the inference workload for the cross-lingual Transformer language model described in Wu et al. (2021)?,Unable to answer with confidence based on the provided documents.,is_blank,is_blank,is_blank,is_blank,is_blank,is_blank
,What is the estimated CO2 emissions in pounds from training a BERT base model for 79 hours using  64 V100 GPUs?,1438 lbs,1438,lbs,['strubell2019'],is_blank,,
,"According to a recent paper, what percentage of total compute demand does ML inference reportedly account for?",Up to 90%,90,percentage,['jegham2025'],is_blank,"According to recent estimates, what percentage of a model's total lifecycle energy use can inference account for?",
,How many U.S. household-years of electricity consumption is training a 6.1B-parameter language model equivalent to?,The training of a 6.1B-parameter language model is equivalent to 0.3 household-years of electricity consumption.,0.3,household-years,['luccioni2023'],is_blank,"For instance, a model trained on a single GPU consuming 300 W for 100 hours on a grid that emits 500 gCO2eq/kWh will emit 0.3 kW × 100 h × 500 g/kWh = 15000 g = 15 kg of CO2eq. The same model trained on a less carbon-intensive energy grid, emitting only 100 gCO2eq/kWh, will only emit 0.3 × 100 × 100 = 3000 g = 3 kg of CO2eq, i.e. five times less overall.",
,True or False: Egress costs in geo-distributed NLP experiments could account for more than 90% of the total cost per VM.,True,1,is_blank,['10-12'],is_blank,,
,"Given the total pre-training GPU hours and the number of GPUs used, estimate the total wall-clock time in days required to pre-train the JetMoE-8B model.",Unable to answer with confidence based on the provided documents.,is_blank,is_blank,is_blank,is_blank,is_blank,is_blank
,"What is the term for the amount of water evaporated, transpired, or incorporated into products, and is defined as 'water withdrawal minus water discharge'?","The term for the amount of water evaporated, transpired, or incorporated into products is 'water consumption'.",Water consumption,is_blank,['amazon2023'],is_blank,"As of 2023, what was the water use effectiveness (WUE) for AWS data centers, in L/kWh?","The question asks about water consumption but does not provide an exact value or unit. The supporting materials quote is from a different context discussing WUE, which is related to water consumption."
,What was the observed range of inference energy per second for LLaMA-65B across GPU shard configurations?,Unable to answer with confidence based on the provided documents.,is_blank,is_blank,is_blank,is_blank,is_blank,is_blank
,"When comparing small and large versions of Qwen models in zero-shot classification, how many times more energy did the 72B version consume than the 7B version?",The 72B version of Qwen models consumed approximately 8.72 times more energy than the 7B version in zero-shot classification.,8.720430108,,['zschache2025'],is_blank,"According to Zschache et al.'s study, when comparing small and large versions of Qwen models in zero-shot classification, the 72B version consumed approximately 8.72 times more energy than the 7B version.",
,By what percentage did Qwen's carbon emissions fall when applying quantization and local inference for sentiment classification?,Unable to answer with confidence based on the provided documents.,is_blank,is_blank,is_blank,is_blank,is_blank,is_blank
,How many widely used model architectures across different tasks were included in the latest iteration of the ML.ENERGY Benchmark?,The number of widely used model architectures across different tasks included in the latest iteration of the ML.ENERGY Benchmark is 40.,40,is_blank,['70'],is_blank,Table 1 Selection of large language models,"The table lists 40 different models, which are the ones included in the latest iteration of the ML.ENERGY Benchmark."
,"In the analysis of training a Llama-3.1 scale model, what was the estimated health cost, In USD, when training in Altoona, Iowa?",$2.51 million,2510000,USD,['han2024'],is_blank,"The estimated health cost when training a Llama-3.1 scale model in Altoona, Iowa was $2.51 million according to Han et al. (2024)",
